term,pooled_hr,ci_lower,ci_upper,p_value,I2,k
traj_4grpIC_decline/Env_decline,1.8606219204267518,1.539160680966258,2.249221912685039,1.3981743430649024e-10,83.69103904521006,5
traj_4grpIC_decline/Env_stable,1.9368553721477546,1.642569704975069,2.2838657752272105,3.784610627099083e-15,91.33144227994424,5
traj_4grpIC_stable/Env_decline,1.322141647869683,1.220343323521746,1.4324317618970535,8.416764377555078e-12,62.665188743707304,5
