ic,log_hr,se,hr,hr_lo,hr_hi,source
-2,0.05358284420601514,0.08284281930821419,1.055044392462225,0.8969195743566,1.2410462452717397,Pooled (RE)
-1.95,0.04819545674959419,0.08112203755622543,1.0493757428527477,0.8951144096547585,1.2302220116336635,Pooled (RE)
-1.9,0.04280806929317324,0.07940919499303853,1.0437375503393176,0.8932989775125767,1.2195111618976213,Pooled (RE)
-1.85,0.03742068183675232,0.07770481662959976,1.0381296512789568,0.8914724378507494,1.2089136210008098,Pooled (RE)
-1.8,0.03203329438033137,0.0760094718522999,1.032551882907926,0.889633881092885,1.1984293916357571,Pooled (RE)
-1.75,0.026645906923910445,0.07432377883907655,1.027004083336999,0.8877823213982134,1.1880585609428562,Pooled (RE)
-1.7,0.021258519467489495,0.07264840945542371,1.0214860915467643,0.8859166891834716,1.1778013079143965,Pooled (RE)
-1.65,0.015871132011068545,0.07098409468123383,1.015997747382952,0.8840358228636401,1.1676579115804162,Pooled (RE)
-1.6,0.010483744554647623,0.06933163062307411,1.0105388915517854,0.8821384597375661,1.1576287600503352,Pooled (RE)
-1.55,0.005096357098226673,0.06769188516966376,1.0051093656153574,0.8802232259421136,1.1477143604867153,Pooled (RE)
-1.5,-2.9103035819427747e-4,0.06606580535057484,0.9997090119870324,0.8782886253980868,1.1379153500879047,Pooled (RE)
-1.45,-0.0056784178146152275,0.06445442545896818,0.994337673926872,0.8763330276737293,1.1282325081537514,Pooled (RE)
-1.4,-0.01106580527103615,0.06285887599774487,0.9889951955370864,0.8743546546984234,1.118666769301758,Pooled (RE)
-1.35,-0.016453192727457072,0.06128039350381646,0.9836814217575088,0.8723515662720615,1.1092192378882004,Pooled (RE)
-1.2999999999999998,-0.02184058018387805,0.05972033129591509,0.9783961983610958,0.8703216443366751,1.0998912036676163,Pooled (RE)
-1.25,-0.027227967640298972,0.058180171175699236,0.9731393719494505,0.8682625760092606,1.090684158691726,Pooled (RE)
-1.2,-0.03261535509671992,0.05666153608756132,0.9679107899483708,0.866171835422024,1.0815998154015458,Pooled (RE)
-1.15,-0.03800274255314087,0.0551662037066074,0.9627103006034203,0.8640466644831561,1.072640125799589,Pooled (RE)
