cohort,model_source,reference_group,joint_group,single_low_ic_group,single_low_env_group,hr_joint,hr_low_ic,hr_low_env,reri,se,ci_lower,ci_upper,z_value,p_value,n,n_events
CHARLS,M5_6group,High IC / High Env,Low IC / Low Env,Low IC / High Env,High IC / Low Env,1.999598589520528,1.97249190006587,1.3952393736696467,-0.3681326842149888,0.15632780961228213,-0.6745351910550618,-0.06173017737491582,-2.354876494003316,0.018528862953066,8665,3128
ELSA,M5_6group,High IC / High Env,Low IC / Low Env,Low IC / High Env,High IC / Low Env,2.2942851336267087,2.2244479890937034,1.2521915202883047,-0.18235437575529945,0.1748830609828924,-0.5251251752817685,0.16041642377116966,-1.0427217749415874,0.297077169904085,9454,2772
HRS,M5_6group,High IC / High Env,Low IC / Low Env,Low IC / High Env,High IC / Low Env,2.0238884102650654,1.4009734298593823,1.3602479810638723,0.2626669993418107,0.08199157084764698,0.10196352048042262,0.4233704782031988,3.2035854006247377,0.0013572777880910382,20543,8217
MHAS,M5_6group,High IC / High Env,Low IC / Low Env,Low IC / High Env,High IC / Low Env,2.0363130688725373,1.938456025522146,1.1857781619365486,-0.08792111858615725,0.18953624903982694,-0.45941216670421803,0.2835699295319035,-0.46387495284705427,0.6427373389318483,7695,1754
SHARE,M5_6group,High IC / High Env,Low IC / Low Env,Low IC / High Env,High IC / Low Env,2.1771519058387168,1.7089059431454148,1.4043068873644766,0.06393907532882537,0.09727329157184599,-0.12671657615199275,0.25459472680964346,0.6573137836257963,0.5109791754593673,41748,6787
