class_label,time,mean_y,sd_y,n,cohort,variable
C1,0,-0.3899038252149994,0.33454381490358737,1817,CHARLS,ic_cfa
C1,1,-0.4625316918713585,0.35093352008121953,7,CHARLS,ic_cfa
C1,2,-0.44806975984214814,0.3227769213551337,1138,CHARLS,ic_cfa
C1,3,-0.45633758440502253,0.31647995211222746,324,CHARLS,ic_cfa
C1,4,-0.5268432601427175,0.3047511241563592,1197,CHARLS,ic_cfa
C1,5,-0.5861435025245724,0.3637758959700293,548,CHARLS,ic_cfa
C1,6,-0.584798009158009,0.14986004481711168,13,CHARLS,ic_cfa
C1,7,-0.5322014334873924,0.33514062062464056,1179,CHARLS,ic_cfa
C1,8,-0.6914175812939757,0.287015688174921,9,CHARLS,ic_cfa
C1,9,-0.6954597516482481,0.3901012076774865,684,CHARLS,ic_cfa
C2,0,-0.019138976433293937,0.3459217104354041,3484,CHARLS,ic_cfa
C2,1,-0.04722113368687256,0.2977404995248015,19,CHARLS,ic_cfa
C2,2,-0.05412003057890208,0.3372348633116116,2089,CHARLS,ic_cfa
C2,3,-0.09285532456676288,0.3247024863305603,695,CHARLS,ic_cfa
C2,4,-0.10623492671428941,0.33025661892737807,2230,CHARLS,ic_cfa
C2,5,-0.11477393200797305,0.34391137254437854,1103,CHARLS,ic_cfa
C2,6,-0.1497073059358219,0.4384513687563793,20,CHARLS,ic_cfa
C2,7,-0.15115990755506056,0.3522821753494407,2363,CHARLS,ic_cfa
C2,8,-0.18621615851792153,0.4665141718540222,14,CHARLS,ic_cfa
C2,9,-0.1836947377442829,0.4188442287860348,1532,CHARLS,ic_cfa
C3,0,0.34971877416697905,0.3556609330591185,2301,CHARLS,ic_cfa
C3,1,0.4708891972707439,0.4548580599903229,14,CHARLS,ic_cfa
C3,2,0.32872326115363154,0.32163907978441914,1230,CHARLS,ic_cfa
C3,3,0.32553561100752615,0.32032563772457046,632,CHARLS,ic_cfa
C3,4,0.3143698060140573,0.3304180254058916,1266,CHARLS,ic_cfa
C3,5,0.35360606042478165,0.3403511865021008,928,CHARLS,ic_cfa
C3,6,0.365340662402794,0.4392179804506627,31,CHARLS,ic_cfa
C3,7,0.3061811503678891,0.35510552061169726,1472,CHARLS,ic_cfa
C3,8,0.295330701010172,0.4760065450917942,28,CHARLS,ic_cfa
C3,9,0.33398255557559964,0.39411580870662816,948,CHARLS,ic_cfa
C4,0,0.7785301543892059,0.3350275594871019,511,CHARLS,ic_cfa
C4,1,0.7048283869090396,0.12838293091476463,3,CHARLS,ic_cfa
C4,2,0.7469356446196773,0.3585932531945386,268,CHARLS,ic_cfa
