outcome,hr,ci_lo,ci_hi,p,i2,n,events
DFS (primary composite),0.8978540523346393,0.8335718923361066,0.9670934285397987,0.004472482396636342,73.46991734307957,88409,22735
CSH-Disability (death censored),0.8983417929328705,0.8345893529412416,0.9669641412100086,0.004311337701927875,72.18029559865597,88409,21815
CSH-Death (disability censored),0.9225410921997759,0.734170236274578,1.1592434897876365,0.4890134492385672,18.502996457473856,70000,911
