"cohort","n_analytic","n_ltfu","pct_ltfu","age_smd","ic_smd","env_smd","chr_smd"
"CHARLS",10056,1707,14.5,0.158664615333643,-0.0638045994133361,-0.0977811610950778,-0.213152997959948
"ELSA",9834,1879,16,-0.215663479925593,0.3891935190257,0.178384013441025,-0.141111730721904
"HRS",20550,2830,12.1,0.013531461966205,0.202637415275522,0.175678205158816,-0.268556104742827
"MHAS",7697,2227,22.4,0.345620493248591,-0.00845134315483275,0.000147146516703258,-0.00594517855355621
"SHARE",53869,35912,40,-0.0785858488820957,0.106842377852701,0.185903816990748,-0.139498541364533
