outcome,exposure,model,hr,hr_lower,hr_upper,p_value,I2
DFS,IC (per 1-SD),M1,0.5963967593740578,0.5630734990505298,0.6316921240151606,1.7695861969608725e-69,72.2263358455814
DFS,Env (per 1-SD),M2,0.8016214329434199,0.7599388456199865,0.8455903069805666,4.816039144216186e-16,86.55824620917271
DFS,IC×Env interaction,M4,0.8978540523346402,0.8335718923361103,0.9670934285397964,0.00447248239663489,73.46991734307693
Mortality,IC×Env interaction,M4,0.9628588273558217,0.802203843071619,1.1556877088336999,0.6844658596946369,31.990309945672422
