"variable","mean_analytic","sd_analytic","n_analytic","mean_ltfu","sd_ltfu","n_ltfu","smd","abs_smd"
"age",66.98867713664,7.1112249534208,102006,67.9025249691393,7.83265526685879,44555,-0.122161685445643,0.122161685445643
"chronic_n",1.26565625708295,1.16529887384556,101477,1.35362325392164,1.21329558177987,44242,-0.0739504736304077,0.0739504736304077
"ic_cfa",0.109283057301555,0.468879526159641,101114,0.0451218279734527,0.475323854846269,43979,0.13590236228907,0.13590236228907
"env_formative",0.122855774091306,0.694817937331754,89139,-0.00727421298759085,0.68723173928263,40577,0.188311648862113,0.188311648862113
"edu_years",9.65737295256445,4.91393240298993,91639,10.3104883982037,4.48035739854614,42752,-0.138897344494143,0.138897344494143
"female",0.537242907279964,0.49861348068398,102006,0.525305801817978,0.499364809723108,44555,0.0239225686447218,0.0239225686447218
