log_hr,hr,se_log_hr,z,p_value,variable,model,cohort,n,n_events,hr_lower,hr_upper
-0.8025715846405909,0.4481749610987003,0.39034527001272107,-2.0560556161329573,0.03977715570445083,ic_cfa,M1_IC_mort,ELSA,9454,26,0.20853501506836303,0.9631993729684882
0.1141262294927524,1.1208936057857217,0.025187928773738745,4.530989051062502,5.870818154717265e-6,age,M1_IC_mort,ELSA,9454,26,1.066900684823001,1.177618960568719
-0.983143140912413,0.37413329515287247,0.4158232846616965,-2.3643292167062597,0.018062753291619067,female,M1_IC_mort,ELSA,9454,26,0.16560385159966998,0.8452443659361444
0.4734208146062093,1.6054768489512863,0.1667186784623134,2.8396387193845567,0.004516465311288782,chronic_n,M1_IC_mort,ELSA,9454,26,1.1579511631548542,2.2259625401609893
-0.7892031258803704,0.45420659658994855,0.39378165825804123,-2.004164260396337,0.045052467634695746,ic_cfa,M3_Both_mort,ELSA,9454,26,0.20992285433529168,0.9827592762068358
-0.060456810092519415,0.941334424287144,0.25248269238727916,-0.239449324311647,0.8107571868869277,env_formative,M3_Both_mort,ELSA,9454,26,0.5738869305497862,1.5440506677841763
0.11252596938886057,1.119101318912743,0.026006803354777647,4.326789719359673,1.5129827428867309e-5,age,M3_Both_mort,ELSA,9454,26,1.0634864714677532,1.1776245355183304
-1.0103753195220881,0.36408230672777264,0.4314743599282647,-2.341681020605881,0.019197114027807553,female,M3_Both_mort,ELSA,9454,26,0.15628639883021295,0.8481603457778983
0.47371149659698625,1.6059435999926603,0.1667372647539236,2.8410655368258886,0.004496307118040802,chronic_n,M3_Both_mort,ELSA,9454,26,1.1582456129796934,2.2266907963696316
-0.8230473942117801,0.4390915286144177,0.3998718993255503,-2.058277652418149,0.03956348814819284,ic_cfa,M4_Int_mort,ELSA,9454,26,0.20052901752639382,0.9614636967718118
-0.1020852061876632,0.9029526112413787,0.2627965599295461,-0.38845716327120694,0.6976777486764819,env_formative,M4_Int_mort,ELSA,9454,26,0.5394708843129296,1.5113390580587511
-0.21446358885259809,0.8069741940533045,0.42503917283804266,-0.5045737018086978,0.6138582845947266,ic_env_cont,M4_Int_mort,ELSA,9454,26,0.350799526725146,1.8563518484396535
0.11198939642750232,1.1185010004757179,0.02594678661743083,4.316118141283391,1.5879701276998187e-5,age,M4_Int_mort,ELSA,9454,26,1.0630410275930022,1.1768543787043364
-1.0011500711670633,0.3674565968303448,0.4312082328299056,-2.321732274443788,0.02024735597235568,female,M4_Int_mort,ELSA,9454,26,0.15781714796200297,0.8555746463410167
0.46775046214584753,1.5963989910011358,0.1668356757253773,2.803659709544355,0.005052620113543442,chronic_n,M4_Int_mort,ELSA,9454,26,1.151139749073156,2.2138838837954897
-0.23915591630524552,0.7872921211240219,1.233125579344401,-0.19394287192744333,0.8462206140236445,High IC / Low Env,M5_6grp_mort,ELSA,9454,26,0.07022281281825866,8.826602910198428
1.5501607664057673,4.712227689607085,0.8079389164502111,1.9186608477985048,0.055027269500184287,Medium IC / High Env,M5_6grp_mort,ELSA,9454,26,0.9671520956203602,22.959253150826
1.5443009168841257,4.684695490489157,0.8318772165035676,1.8564048711117729,0.06339587094955446,Medium IC / Low Env,M5_6grp_mort,ELSA,9454,26,0.9174305218150944,23.921562796046455
0.8314376916983751,2.2966181968111123,0.9411576655190055,0.88342019850614,0.37700928153989594,Low IC / High Env,M5_6grp_mort,ELSA,9454,26,0.36304396631779356,14.52841978182578
1.2200122286671207,3.387229154665866,0.8638660558689429,1.412270131901338,0.15787043738690193,Low IC / Low Env,M5_6grp_mort,ELSA,9454,26,0.6230271131504246,18.415444695820646
0.11802536745210909,1.125272656305503,0.025548623577432622,4.6196370264096025,3.8441193944844885e-6,age,M5_6grp_mort,ELSA,9454,26,1.0703118613787934,1.183055702473159
-0.9649297622200766,0.38100996009325794,0.42512770482688794,-2.2697409537517585,0.02322330501665669,female,M5_6grp_mort,ELSA,9454,26,0.1655999955867933,0.8766219417812792
0.4968693054381904,1.6435676993222361,0.16775324287001997,2.9619058143822534,0.003057412935050792,chronic_n,M5_6grp_mort,ELSA,9454,26,1.1830229083267605,2.2834002310877177
-0.2543151329685287,0.7754473944986945,0.06129809263615581,-4.148826203745931,3.341843944991143e-5,ic_cfa,M1_IC_mort,HRS,20543,1454,0.6876609315805647,0.874440634940106
0.10319686985773226,1.1087096591047305,0.0033856301100225195,30.48084595899516,4.675847804325783e-204,age,M1_IC_mort,HRS,20543,1454,1.101376801451539,1.1160913381978608
-0.3643759412700035,0.6946300055636168,0.05326715686254749,-6.840536697129386,7.88970327492405e-12,female,M1_IC_mort,HRS,20543,1454,0.625765506245619,0.7710729335725325
0.24630633703200347,1.2792914078549436,0.020855346875339735,11.810224903199607,3.4563550451659475e-32,chronic_n,M1_IC_mort,HRS,20543,1454,1.2280528388224943,1.3326678254175996
-0.19480459275537704,0.8229954616199083,0.06210036999573127,-3.1369312738195885,0.0017072614132056763,ic_cfa,M3_Both_mort,HRS,20543,1454,0.7286794774437196,0.9295191518540877
-0.19015160641465925,0.8268337711371384,0.03626501506957005,-5.2433896980292545,1.576530716573639e-7,env_formative,M3_Both_mort,HRS,20543,1454,0.7701029775865603,0.8877437238788215
0.09932352130644556,1.1044235463158705,0.003453202639496827,28.762725989610097,6.278976282010431e-182,age,M3_Both_mort,HRS,20543,1454,1.0969737412496938,1.1119239447494516
