log_hr,hr,se_log_hr,z,p_value,variable,model,cohort,n,n_events,hr_lower,hr_upper
-0.5239971113266904,0.592148926129809,0.04015602046824973,-13.049029889328814,6.436172316320592e-39,ic_cfa,M1_IC,CHARLS,8665,3128,0.547330249771881,0.6406376239260073
0.03761046850831309,1.0383266931474904,0.002705241629658214,13.902813004199137,6.090002408477049e-44,age,M1_IC,CHARLS,8665,3128,1.032835770990472,1.0438468069988531
0.27171478636398316,1.3122126869821886,0.03652833817407507,7.438465584421929,1.0186150433762776e-13,female,M1_IC,CHARLS,8665,3128,1.2215484112361554,1.409606135981564
0.22968810815284255,1.258207524057302,0.011104080814383518,20.685017696856026,4.726006758822126e-95,chronic_n,M1_IC,CHARLS,8665,3128,1.2311197360272073,1.2858913128165632
-0.24909453124288583,0.7795062822040018,0.025473777711717962,-9.778468433769135,1.3930247026735827e-22,env_formative,M2_Env,CHARLS,8665,3128,0.7415422532428518,0.8194139192180444
0.041597882278313375,1.0424751967050288,0.0026757574171129123,15.54620834171008,1.688084276508977e-54,age,M2_Env,CHARLS,8665,3128,1.0370222630666133,1.047956803291291
0.3263355461453697,1.3858803176610703,0.03613897268695566,9.030017232979075,1.7164476471729556e-19,female,M2_Env,CHARLS,8665,3128,1.2911110925079958,1.4876057265912261
0.22801441554911542,1.256103432722559,0.011141088940420643,20.46607982114417,4.32005638661381e-93,chronic_n,M2_Env,CHARLS,8665,3128,1.2289717955626478,1.283834046797673
-0.4639527118602316,0.628793288228965,0.040956412446438675,-11.327962683913595,9.539788807443545e-30,ic_cfa,M3_Both,CHARLS,8665,3128,0.5802900116898084,0.6813506890639768
-0.19026922804418805,0.8267365233209631,0.026371697407586145,-7.214902594379638,5.397259641878109e-13,env_formative,M3_Both,CHARLS,8665,3128,0.785089342979585,0.8705929906000605
0.03586218767993247,1.036512992387361,0.002719192056062794,13.188545325429674,1.0213710546185382e-39,age,M3_Both,CHARLS,8665,3128,1.0310034705737399,1.0420519562266215
0.2654589725692371,1.3040293521508113,0.03654065424195655,7.264756969360252,3.737095523166773e-13,female,M3_Both,CHARLS,8665,3128,1.2139011815299667,1.4008492430393815
0.23324290268500306,1.2626881524224394,0.011107437676173811,20.998803638153607,6.725794511098538e-98,chronic_n,M3_Both,CHARLS,8665,3128,1.2354957726119995,1.2904790170971308
-0.46024150645158607,0.6311312048421982,0.04086478449550546,-11.262545786879313,2.008706270034671e-29,ic_cfa,M4_Interaction,CHARLS,8665,3128,0.5825521998605777,0.6837612111342062
-0.19122465507743722,0.8259470141164844,0.02651570463321754,-7.2117508368184415,5.523698022336714e-13,env_formative,M4_Interaction,CHARLS,8665,3128,0.7841182537364139,0.8700071282325458
