analysis,term,hr,ci_lo,ci_hi,p,i2,n_cohorts,note
S1_ic_sum,ic_sum_c,0.6004491815499852,0.5241030238618934,0.6879166942548547,1.9594588502826643e-13,92.62046389997101,5,"N=101169, events=26462"
S1_ic_sum,env_form_c,0.8238926981548554,0.7704819589522236,0.8810059342544309,1.472412106576682e-8,91.02748330495946,5,"N=101169, events=26462"
S1_ic_sum,age,1.0562251242059455,1.0433867396428032,1.069221479070922,1.838734476396605e-18,97.65561012922622,5,"N=101169, events=26462"
S1_ic_sum,female,1.0501327858766725,0.9003215026771233,1.2248722980557136,0.5333585210342897,96.64899953638073,5,"N=101169, events=26462"
S1_ic_sum,chronic_n,1.3364424911917998,1.2963953970642992,1.3777266845497425,6.775973081567288e-78,86.65305112052877,5,"N=101169, events=26462"
S1_ic_sum,ic_sum_c:env_form_c,0.8955595417628506,0.838121568818098,0.9569338419168583,0.001107856029988497,51.50264288350485,5,"N=101169, events=26462"
S2_env_4indicator,ic_cfa_c,0.6130897851765049,0.5691754138887696,0.6603923421773603,4.394368618252307e-38,84.13809184239184,5,"N=101997, events=26756"
S2_env_4indicator,env4_c,0.8622440335023032,0.8181300794726153,0.9087366324308411,3.1742922569062353e-8,87.12647792769708,5,"N=101997, events=26756"
S2_env_4indicator,age,1.0519079797551583,1.0377915787910341,1.0662163969008092,2.1160138909110182e-13,98.18609412505711,5,"N=101997, events=26756"
S2_env_4indicator,female,1.0918958473138805,0.9585214942491465,1.2438286971490715,0.18595699197631618,95.78501780737359,5,"N=101997, events=26756"
S2_env_4indicator,chronic_n,1.3389599743828835,1.2978150254697158,1.3814093517298758,4.765863050787067e-75,88.6151957476356,5,"N=101997, events=26756"
S2_env_4indicator,ic_cfa_c:env4_c,0.9004856370724064,0.8312378407390012,0.9755022483731014,0.010243976194173091,79.8262282029952,5,"N=101997, events=26756"
S3_categorical_6grp,grp6High IC / Low Env,1.3307615222521003,1.2726307495693023,1.3915475716000605,4.559228392738431e-36,0.1670314297833051,5,"N=101646, events=26683"
S3_categorical_6grp,grp6Medium IC / High Env,1.319545406075538,1.17560326788188,1.4811119756686537,2.5367145093123436e-6,85.4260738134096,5,"N=101646, events=26683"
S3_categorical_6grp,grp6Medium IC / Low Env,1.616637277278974,1.4815244933559568,1.764072141910948,3.959111575232852e-27,73.32980135876079,5,"N=101646, events=26683"
S3_categorical_6grp,grp6Low IC / High Env,1.8038843939027414,1.5492985261867063,2.100304655020191,2.9611288495967183e-14,90.29897627636238,5,"N=101646, events=26683"
S3_categorical_6grp,grp6Low IC / Low Env,2.038213699754948,1.9564889666147676,2.123352166435568,6.296267591392852e-255,0,5,"N=101646, events=26683"
S3_categorical_6grp,age,1.0545032935132028,1.0405226768500568,1.0686717558106924,6.527071183415998e-15,98.20313611387853,5,"N=101646, events=26683"
S3_categorical_6grp,female,1.1026974840399162,0.971318715698808,1.2518463009674032,0.1309503743625683,95.6786939052028,5,"N=101646, events=26683"
S3_categorical_6grp,chronic_n,1.345904365070837,1.3016200256343429,1.3916953674970705,7.848634473501292e-68,90.25525511358939,5,"N=101646, events=26683"
S4_uncentered_interaction,ic_raw,0.6226016987378776,0.5794021152509431,0.6690221955841573,3.701293797462402e-38,81.56849297332182,5,"N=88409, events=22735"
S4_uncentered_interaction,env_raw,0.8503256201265418,0.7948125672338541,0.9097159381362008,2.5144911711864867e-6,91.20799833257084,5,"N=88409, events=22735"
S4_uncentered_interaction,age,1.0513141705971882,1.0383072683928787,1.0644840106043065,3.3189142346719575e-15,97.62176547751216,5,"N=88409, events=22735"
S4_uncentered_interaction,female,1.0785498931552049,0.9385925686406352,1.239376818964025,0.2862844285387585,95.8364679964141,5,"N=88409, events=22735"
S4_uncentered_interaction,chronic_n,1.3372195697593758,1.2958883646343726,1.3798689968575866,1.5169021026753618e-73,87.55957184604614,5,"N=88409, events=22735"
S4_uncentered_interaction,ic_raw:env_raw,0.8978540523346392,0.8335718923361052,0.9670934285398001,0.004472482396637159,73.46991734308081,5,"N=88409, events=22735"
S5_mortality_only,ic_cfa_c,0.7054422154550164,0.5727184045990679,0.8689239167972284,0.0010338714414138582,53.97661706455835,4,"N=79454, events=2208"
S5_mortality_only,env_form_c,0.813218225963983,0.7658948851737104,0.8634655953995759,1.389310094134942e-11,0,4,"N=79454, events=2208"
S5_mortality_only,age,1.1055308123752932,1.0993296696886325,1.111766934715174,1.002534165109868e-267,0.4500100379909113,4,"N=79454, events=2208"
S5_mortality_only,female,0.5706111657215904,0.39666092440616874,0.8208449141633894,0.002493955366360724,87.07882197184989,4,"N=79454, events=2208"
S5_mortality_only,chronic_n,1.2152216737748764,1.0816514634288932,1.3652861077179075,0.001033846647603818,78.57304647017223,4,"N=79454, events=2208"
S5_mortality_only,ic_cfa_c:env_form_c,0.9628588273558218,0.8022038430716193,1.1556877088336994,0.6844658596946369,31.99030994567229,4,"N=79454, events=2208"
S6_disability_only,ic_cfa_c,0.6181623721971505,0.5794352084880977,0.6594779067662709,4.250860703869973e-48,76.49070026681417,5,"N=88409, events=21815"
S6_disability_only,env_form_c,0.853101382068742,0.7952503124361061,0.9151608703656696,9.231146507181717e-6,91.62355354104551,5,"N=88409, events=21815"
S6_disability_only,age,1.0507200020508356,1.0379914377224435,1.0636046527822307,1.7746869028905672e-15,97.43171144766488,5,"N=88409, events=21815"
S6_disability_only,female,1.0983105312297623,0.9689031268882058,1.245001682350218,0.14262947154765981,94.6834763552451,5,"N=88409, events=21815"
S6_disability_only,chronic_n,1.3431242888616577,1.2991936680917275,1.3885403690273885,1.0417205510431758e-67,88.63175453408702,5,"N=88409, events=21815"
S6_disability_only,ic_cfa_c:env_form_c,0.8983418525415587,0.8345892780558081,0.9669643562972243,0.004311443830505839,72.18041011563601,5,"N=88409, events=21815"
S7_adl_ge2_dfs,ic_cfa_c,0.5398039357849467,0.47728153187869266,0.6105165811506384,9.553967335337486e-23,88.11505020338156,5,"N=88409, events=12701"
S7_adl_ge2_dfs,env_form_c,0.7900524925471804,0.733758922061626,0.8506648739973883,4.145903228270119e-10,86.17457771587581,5,"N=88409, events=12701"
S7_adl_ge2_dfs,age,1.0661412405570925,1.0513703037087931,1.0811196976050843,2.310167933778506e-19,96.62745143382865,5,"N=88409, events=12701"
S7_adl_ge2_dfs,female,1.0309769571151244,0.8800117231033754,1.207840143713063,0.7056897662663009,93.92030680443456,5,"N=88409, events=12701"
S7_adl_ge2_dfs,chronic_n,1.353953095602344,1.2936657560745886,1.4170499423697156,7.3078974699892e-39,89.27449715762741,5,"N=88409, events=12701"
S7_adl_ge2_dfs,ic_cfa_c:env_form_c,0.9011426456045774,0.8343161812355023,0.9733217286097406,0.008101726122332033,55.32394706110293,5,"N=88409, events=12701"
S8_age_ge65,ic_cfa_c,0.6213023244506,0.5704304232060076,0.6767110635477291,9.295094483815872e-28,78.71393280470161,5,"N=42337, events=14300"
S8_age_ge65,env_form_c,0.8790084234914175,0.8315820655957403,0.929139576880294,5.185900388348329e-6,78.7943456083528,5,"N=42337, events=14300"
S8_age_ge65,age,1.0558479502738034,1.0398787410812103,1.0720623954080135,2.768844532816e-12,96.14300079466065,5,"N=42337, events=14300"
S8_age_ge65,female,1.090859624997584,0.9863047450823799,1.2064980193829224,0.09070038554839269,86.78861383489622,5,"N=42337, events=14300"
S8_age_ge65,chronic_n,1.2895180572499485,1.260038916711124,1.3196868746831787,5.328759745234623e-103,59.55979978193764,5,"N=42337, events=14300"
S8_age_ge65,ic_cfa_c:env_form_c,0.9174934994499218,0.8436558038774591,0.9977935523752222,0.04426585689366199,66.84194712103378,5,"N=42337, events=14300"
S9_age_ge70,ic_cfa_c,0.6208828907404141,0.563331929033327,0.6843133579800462,7.744248617452965e-22,75.61503564415224,5,"N=25873, events=10087"
S9_age_ge70,env_form_c,0.9054082081407604,0.8477530083345673,0.9669845052854604,0.0030760031250474714,77.40317549460404,5,"N=25873, events=10087"
S9_age_ge70,age,1.0561136408281795,1.037960823577779,1.0745839313074736,6.750082885968019e-10,93.83995005780078,5,"N=25873, events=10087"
S9_age_ge70,female,1.0921247930239646,1.012662592273615,1.1778222802322764,0.02222873384538607,64.63683025610945,5,"N=25873, events=10087"
S9_age_ge70,chronic_n,1.264036181762412,1.2412723874129057,1.2872174431710757,6.746878350454718e-141,14.311683743927382,5,"N=25873, events=10087"
S9_age_ge70,ic_cfa_c:env_form_c,0.933467778755871,0.883367193884566,0.9864098418050207,0.014440408450256265,0,5,"N=25873, events=10087"
S10_female_only,ic_cfa_c,0.6074405770426674,0.5668386647275446,0.6509507512429198,2.7295454929737688e-45,64.17037528758654,5,"N=47680, events=12957"
S10_female_only,env_form_c,0.8771850890345309,0.8316567845497068,0.9252057996991292,1.444916351648028e-6,75.68328696547884,5,"N=47680, events=12957"
S10_female_only,age,1.0526542224949316,1.0369327937994444,1.0686140112092217,2.3288340473162144e-11,97.17498532180818,5,"N=47680, events=12957"
S10_female_only,chronic_n,1.344046328630317,1.292335012800434,1.3978268139544654,2.2488955994222422e-49,85.79838966891596,5,"N=47680, events=12957"
S10_female_only,ic_cfa_c:env_form_c,0.8970085737068253,0.8538988350753827,0.9422947406088455,1.5238709874695688e-5,6.7014964339622525,5,"N=47680, events=12957"
S11_male_only,ic_cfa_c,0.6414295317601774,0.5735687143779421,0.7173191875716137,7.06931128090373e-15,81.72350279431207,5,"N=40729, events=9778"
S11_male_only,env_form_c,0.8069732570580246,0.7426528243057308,0.8768644194083778,4.1792969281924215e-7,84.5862169024603,5,"N=40729, events=9778"
S11_male_only,age,1.050971997196206,1.0412897709760234,1.060744251674796,6.416273522395163e-26,89.47907968423516,5,"N=40729, events=9778"
S11_male_only,chronic_n,1.3254316358978606,1.2944515793718834,1.3571531368452805,1.45586595967753e-120,49.116309648938575,5,"N=40729, events=9778"
S11_male_only,ic_cfa_c:env_form_c,0.9055832711022384,0.8226199462361491,0.9969136594030629,0.043071367137196136,56.19213131739493,5,"N=40729, events=9778"
S12_adj_education,ic_cfa_c,0.6468416222177565,0.5825518677954822,0.7182263200299083,3.4441424141621007e-16,88.94341523570229,4,"N=79152, events=19454"
S12_adj_education,env_form_c,0.8769687852422758,0.7988177199660168,0.9627656360978457,0.005837810477051764,94.3360759513274,4,"N=79152, events=19454"
S12_adj_education,age,1.054129774993218,1.0395707421181282,1.0688927049478136,1.0939816714760079e-13,97.74790825101935,4,"N=79152, events=19454"
S12_adj_education,female,1.0165439711051396,0.9017380952637445,1.145966495834874,0.788421683085653,93.15934658532699,4,"N=79152, events=19454"
S12_adj_education,chronic_n,1.3541678698125614,1.3363036783766864,1.3722708762280114,0,14.721867349189832,4,"N=79152, events=19454"
S12_adj_education,edu_years_bl,0.9756402827570327,0.9617480426996918,0.9897331931825389,7.508032813044212e-4,87.86061575449278,4,"N=79152, events=19454"
S12_adj_education,ic_cfa_c:env_form_c,0.9312444443057717,0.8826327126179424,0.9825335075992702,0.009210404399977,42.5292030989449,4,"N=79152, events=19454"
S13_adj_marital,ic_cfa_c,0.6240711375483733,0.5815766849013452,0.6696705607911136,3.128705260285936e-39,80.67229141634697,5,"N=88115, events=22690"
S13_adj_marital,env_form_c,0.8283664137297516,0.7871881662941733,0.8716987180153563,4.54855713725803e-13,75.1063750205007,5,"N=88115, events=22690"
S13_adj_marital,age,1.0518805379335758,1.0380063948160312,1.0659401248481988,8.250415810812572e-14,97.69491208166811,5,"N=88115, events=22690"
S13_adj_marital,female,1.0873186039079739,0.9511350789007675,1.2430008866571636,0.2201369587210836,95.25299125970524,5,"N=88115, events=22690"
S13_adj_marital,chronic_n,1.337532271197441,1.2960201596886534,1.3803740344011002,4.634527042132173e-73,87.62163098079725,5,"N=88115, events=22690"
S13_adj_marital,factor(marital_bl)2,1.017968337936477,0.8625140460774426,1.2014407669693887,0.8331732732894142,0,2,"N=29498, events=11416"
S13_adj_marital,factor(marital_bl)3,0.813736010604992,0.5710302939428441,1.1595992401440012,0.2540446692028016,57.96386565624599,3,"N=58118, events=11701"
S13_adj_marital,factor(marital_bl)4,1.057595132558761,0.9490047951542218,1.1786109723820897,0.3110344459708961,0.17001043633951746,5,"N=88115, events=22690"
