model,variable,k,pooled_hr,hr_lower,hr_upper,p_value,I2
M1_IC_mort,ic_cfa,4,0.6699110804329916,0.5452536993307109,0.823067970447094,1.369970543297014e-4,55.647658594108215
M3_Both_mort,ic_cfa,4,0.7160793231410677,0.5848832100349524,0.8767042517762251,0.0012193193513182602,53.39949661151555
M3_Both_mort,env_formative,4,0.8121430967244921,0.7650603666795908,0.86212335429144,8.564274592964985e-12,0
M4_Int_mort,ic_cfa,4,0.7054422154550167,0.5727184045990682,0.8689239167972286,0.0010338714414138564,53.97661706455827
M4_Int_mort,env_formative,4,0.8132182259639841,0.765894885173711,0.8634655953995775,1.3893100941359297e-11,0
M4_Int_mort,ic_env_cont,4,0.9628588273558217,0.802203843071619,1.1556877088336999,0.6844658596946369,31.990309945672422
M5_6grp_mort,High IC / Low Env,4,1.2068280886906353,1.0277196470282026,1.4171511071761425,0.021816889821882658,4.483428139712586e-4
M5_6grp_mort,Medium IC / High Env,4,1.089610103515401,0.9433467825022792,1.2585511496987318,0.24323521476617774,0.012602121964607216
M5_6grp_mort,Medium IC / Low Env,4,1.3555756619334804,1.1689412392774483,1.5720083383851278,5.6880511253032074e-5,0.01266634392090603
M5_6grp_mort,Low IC / High Env,4,1.3110187092733385,1.1211607268832846,1.5330273482221772,6.918614945193791e-4,0
M5_6grp_mort,Low IC / Low Env,4,1.9167628165338613,1.389738751446179,2.64364772949134,7.302172122001324e-5,57.37458113491309
