term,estimate,std.error,robust.se,statistic,p.value,conf.low,conf.high,cohort,model,log_hr,se_log_hr,n,n_events
cum_env_prop,0.572965381661051,0.055274802900142965,0.0574200106191268,-9.699231575138358,3.037778056810843e-22,0.5119792752203155,0.6412160500846916,CHARLS,main,-0.5569299800418146,0.0574200106191268,9058,2830
cum_env_prop,0.63914991732225,0.05618402494064333,0.05874488669076624,-7.61966300284409,2.543388485911321e-14,0.5696380602180212,0.717144175121807,CHARLS,interaction,-0.4476162397238997,0.05874488669076624,9058,NA
cum_env_prop:ic_bl,0.7876939759825439,0.1232998313635991,0.12537432490933223,-1.9034648448030478,0.05697991671130874,0.616082262519141,1.007108689125604,CHARLS,interaction,-0.23864561990582897,0.12537432490933223,9058,NA
cum_env_prop,0.73329313878549085,0.048358123369364577,0.054012210634756586,-5.7433261276931145,9.283468277709769e-9,0.6596329545540488,0.8151788410168305,ELSA,main,-0.31020974055306133,0.054012210634756586,9504,2638
cum_env_prop,0.8192788381347007,0.049707298329167,0.056454450115463704,-3.5308251335791656,4.1426552510779696e-4,0.733462006443714,0.9151364470394754,ELSA,interaction,-0.19933079137007054,0.056454450115463704,9504,NA
cum_env_prop:ic_bl,0.8272319568454013,0.08986196090095162,0.0981342900367923,-1.9327611516120349,0.05326562807851012,0.6824883528126152,1.0026730970662552,ELSA,interaction,-0.18967014342414018,0.0981342900367923,9504,NA
cum_env_prop,0.5316424935845371,0.029516785352833193,0.034541237048569075,-18.29071782196834,9.81145538248206e-75,0.49684180633088154,0.5688807531557689,HRS,main,-0.6317840200770956,0.034541237048569075,20544,8209
cum_env_prop,0.5635446746847272,0.030201757302444773,0.03539249365766423,-16.204245834552115,4.706250423066151e-59,0.5257777516999247,0.6040244178052782,HRS,interaction,-0.5735086679266179,0.03539249365766423,20544,NA
cum_env_prop:ic_bl,1.0178395117274324,0.06418515956783682,0.07232282142073078,0.2444906709994964,0.8068508262511093,0.8833198878327645,1.1728449522124642,HRS,interaction,0.017682255137731213,0.07232282142073078,20544,NA
cum_env_prop,0.7639685877699723,0.06034346994708029,0.0612776448671798,-4.3935860578318175,1.114960232308722e-5,0.6775102595184197,0.8614600220432206,MHAS,main,-0.26922860614521066,0.0612776448671798,7653,1778
cum_env_prop,0.858949972135271,0.061743769172875905,0.06281558871888973,-2.4204914966341127,0.015499541793634995,0.7594499255672711,0.9714861109244126,MHAS,interaction,-0.15204459835013823,0.06281558871888973,7653,NA
cum_env_prop:ic_bl,0.9217960205214124,0.1075537902987411,0.10555514371731538,-0.7714575804745449,0.44043575656057066,0.7495250079282496,1.1336618451167848,MHAS,interaction,-0.081431315778803,0.10555514371731538,7653,NA
cum_env_prop,0.6460302841235146,0.0258134761269711,0.027931805541024396,-15.641985485273201,3.767941980636328e-55,0.6116138071441742,0.6823834307362634,SHARE,main,-0.4369088968501772,0.027931805541024396,50133,9403
cum_env_prop,0.701226231643,0.026222246390023674,0.02861187516650995,-12.404804471023414,2.4611280537269663e-35,0.6629849679381775,0.7416732682091435,SHARE,interaction,-0.3549247169898864,0.02861187516650995,50133,NA
cum_env_prop:ic_bl,0.9251446528663021,0.057823320693827264,0.06433045407382255,-1.2094609518790524,0.22648580406108926,0.8155516322510373,1.0494646750503416,SHARE,interaction,-0.07780517221893707,0.06433045407382255,50133,NA
