log_hr,hr,se_log_hr,z,p_value,variable,cohort,subgroup,subgroup_type,n,n_events,hr_lower,hr_upper
-0.3686241164528122,0.6916853547375341,0.061700999707531186,-5.974362136758347,2.309921763687756e-9,ic_cfa,CHARLS,Male,sex,4453,1372,0.6128971883956559,0.78060176978579765
-0.2404849915130787,0.786246445729062,0.04187109876644709,-5.74346025296543,9.27611452473888e-9,env_formative,CHARLS,Male,sex,4453,1372,0.7242980173658514,0.8534932563667796
-0.217684106887263,0.8043794994808029,0.08721660184179683,-2.495902182501018,0.012563724161423434,ic_env_cont,CHARLS,Male,sex,4453,1372,0.6779859957458421,0.9543359055273748
0.04011115677876809,1.040926473795633,0.0041766161311767875,9.603745117812998,7.709123156772322e-22,age,CHARLS,Male,sex,4453,1372,1.0324400582061686,1.049482645734616
0.24265713394134802,1.274631521302939,0.016644307913097397,14.578986113949577,3.82150040469146e-48,chronic_n,CHARLS,Male,sex,4453,1372,1.233720364035278,1.3168993253746657
-0.5667847843332814,0.5673466511765006,0.06086037821698312,-9.312869898911009,1.2442402408790064e-20,ic_cfa,ELSA,Male,sex,4380,1239,0.5035505746764709,0.6392252115053146
-0.15931347872635335,0.8527290046640708,0.03845210779982983,-4.143166339689144,3.4254330385726814e-5,env_formative,ELSA,Male,sex,4380,1239,0.7908241811924455,0.9194796677801979
-0.06808493239085674,0.9341811279710633,0.06855404816127617,-0.9931569938901957,0.3206334527653387,ic_env_cont,ELSA,Male,sex,4380,1239,0.8167266100148353,1.0685269331942502
0.04837352353309205,1.049562618453633,0.00416067765930339,11.62635692888333,3.027442634960964e-31,age,ELSA,Male,sex,4380,1239,1.0410383154263432,1.0581567207774756
0.3034600852464417,1.3545375238315478,0.02651215223172244,11.446075090174846,2.4603525749654943e-30,chronic_n,ELSA,Male,sex,4380,1239,1.2859480994464265,1.4267853455808455
-0.3102632286207235,0.7332539174014147,0.04169893096374063,-7.44055594352079,1.0026244535055251e-13,ic_cfa,HRS,Male,sex,9225,3459,0.6757087538274716,0.7956997809174475
-0.2689470679842592,0.7641837043615416,0.02627566259639443,-10.2355960386386,1.37346817568742e-24,env_formative,HRS,Male,sex,9225,3459,0.725824254848522,0.8045704316310052
0.008396476630206337,1.0084318259073015,0.05247028080419971,0.16002347426992014,0.8728625827073971,ic_env_cont,HRS,Male,sex,9225,3459,0.9098775274521835,1.1176611322079024
0.05536481985114126,1.0569261319831724,0.0023409078380176103,23.65100366276135,1.1525796454776614e-123,age,HRS,Male,sex,9225,3459,1.0520878732039154,1.0617866405655223
0.2933754291438787,1.3409461261984577,0.013258846850184698,22.12676807107037,1.746555864847718e-108,chronic_n,HRS,Male,sex,9225,3459,1.3065474050423873,1.3762504953337795
-0.6085324912781453,0.5441488265754846,0.07108133379176663,-8.561073052748931,1.1182181939104124e-17,ic_cfa,MHAS,Male,sex,3541,697,0.4733823313338203,0.625494290480128
-0.0419704329861897,0.9588981319076592,0.06582996714239213,-0.637558163980341,0.523761336393598,env_formative,MHAS,Male,sex,3541,697,0.8428239598524093,1.0909581017808436
-0.2800169465636525,0.755770933626968,0.10715494686029187,-2.613196635044179,0.008969967745204657,ic_env_cont,MHAS,Male,sex,3541,697,0.6126014960773972,0.9324001129164949
0.03830409137868125,1.0390471501226037,0.00531207944078005,7.210752739243015,5.564341426418586e-13,age,MHAS,Male,sex,3541,697,1.0282850511169404,1.0499218859646013
0.3085207787442724,1.3614097976397324,0.04042094617555531,7.632695617868818,2.29895235443278e-14,chronic_n,MHAS,Male,sex,3541,697,1.257713920513454,1.4736551825337219
-0.4002071334037851,0.6701812147416741,0.04585185428292479,-8.72826496687228,2.586092100055131e-18,ic_cfa,SHARE,Male,sex,18978,2982,0.612579366010091,0.7331994603703763
-0.30815055665858315,0.7348046799433054,0.03002837900794384,-10.26197773036845,1.0454332800656826e-24,env_formative,SHARE,Male,sex,18978,2982,0.6928053638306126,0.7793500828013156
-0.055611999768998555,0.9459060764754551,0.06447032651362816,-0.8625983886903834,0.38835831659756287,ic_env_cont,SHARE,Male,sex,18978,2982,0.8336231479323573,1.0733126925906709
0.06337281178735166,1.0654239678133253,0.002591303591778459,24.45595799288718,4.3490669776939275e-132,age,SHARE,Male,sex,18978,2982,1.0600264458707922,1.070848973261797
0.2853842830706691,1.3302731313547698,0.014878481281005494,19.181008980735346,5.333528453937813e-82,chronic_n,SHARE,Male,sex,18978,2982,1.2920401229071319,1.3696375001286396
-0.5303631249045514,0.5883912713568618,0.05474356223129883,-9.688136892950018,3.386497027521288e-22,ic_cfa,CHARLS,Female,sex,4212,1756,0.5285274651642334,0.6550355677379328
-0.1538381969123876,0.8574107414937794,0.03569535053331302,-4.309754481016139,1.6343589125956073e-5,env_formative,CHARLS,Female,sex,4212,1756,0.7994741467869956,0.9195459072484302
-0.20343981374315095,0.8159193099740744,0.07337025735283209,-2.772783156052242,0.005557914256769315,ic_env_cont,CHARLS,Female,sex,4212,1756,0.7066318160188961,0.942109179486432
0.034061317931632674,1.0346480472613027,0.0035932958318063294,9.479129892433667,2.5641217215126188e-21,age,CHARLS,Female,sex,4212,1756,1.0273867661974712,1.0419606490199522
0.2261419726023973,1.2537536513119596,0.014893480634661291,15.18395720581942,4.516893577788784e-52,chronic_n,CHARLS,Female,sex,4212,1756,1.2176840689687658,1.290891667416888
-0.5778080635735271,0.5611269742132154,0.05159324383929663,-11.199297050855959,4.109815660371248e-29,ic_cfa,ELSA,Female,sex,5074,1533,0.5071589460332746,0.6208378727268286
-0.061222612580761636,0.940613823996721,0.03230170603283902,-1.89533681343396,0.05804779398428757,env_formative,ELSA,Female,sex,5074,1533,0.8829082804661086,1.0020909141622858
-0.14116557188021553,0.8683455261931297,0.054264354094810126,-2.6014420375035234,0.009283275105250195,ic_env_cont,ELSA,Female,sex,5074,1533,0.7807317126389252,0.9657913732118963
0.054269630084739076,1.0557692309283155,0.0036698505677377645,14.787967270883442,1.75164386643452e-49,age,ELSA,Female,sex,5074,1533,1.0482024272001018,1.0633906581883736
0.3041626354122236,1.3554894887558757,0.023939719347168133,12.705355104683107,5.521820994065786e-37,chronic_n,ELSA,Female,sex,5074,1533,1.293356510752956,1.4206073413261826
-0.39931522245676077,0.6707792233491608,0.03564297740855359,-11.203194892493274,3.9328912729194645e-29,ic_cfa,HRS,Female,sex,11318,4758,0.6255178213103486,0.7193156631962125
-0.17606695458790989,0.8385618358952712,0.01927513360875181,-9.134409035067195,6.576497346731548e-20,env_formative,HRS,Female,sex,11318,4758,0.8074725514616174,0.870848119044048
