"cohort","n_eligible_model","n_retained_model","n_ltfu_model","education_included","denominator_formula","p_ret_mean","p_ret_min","p_ret_max","sw_mean","sw_min","sw_max","sw_tr_mean","sw_tr_max"
"CHARLS",9990,8665,1325,FALSE,"retained ~ age_c + female + chronic + ic_cfa + env_formative +      ic_env_cont + marital_partnered",0.867367367367364,0.633253146285975,0.977841162715625,0.999844230679735,0.887022760382214,1.36970084152676,0.999453634222941,1.14481058011052
"ELSA",10998,9293,1705,TRUE,"retained ~ age_c + female + chronic + ic_cfa + env_formative +      ic_env_cont + marital_partnered + edu_years",0.844971812787796,0.505084375850149,0.951052271136331,0.999642240219308,0.888459907726559,1.67293199603468,0.998977778657714,1.25981079437723
"HRS",23294,20480,2814,TRUE,"retained ~ age_c + female + chronic + ic_cfa + env_formative +      ic_env_cont + marital_partnered + edu_years",0.879196359577572,0.557416794769139,0.961982028874624,1.00007464744294,0.913942603071393,1.57726923161995,0.999477049450655,1.17757097372848
"MHAS",9803,7616,2187,TRUE,"retained ~ age_c + female + chronic + ic_cfa + env_formative +      ic_env_cont + marital_partnered + edu_years",0.776905029068713,0.427852428606868,0.978426064021743,0.998393929396855,0.800783985639186,1.81582474967459,0.997679829193966,1.33996086547015
"SHARE",72753,41085,31668,TRUE,"retained ~ age_c + female + chronic + ic_cfa + env_formative +      ic_env_cont + marital_partnered + edu_years",0.564718980660587,0.280998561320293,0.799628974159421,0.999734318352808,0.71195228102406,1.93764989870637,0.999012577702722,1.36669400443624
