subgroup,pooled_hr,hr_lower,hr_upper,p_value,I2,k
Male,0.905583271102239,0.8226199462361503,0.9969136594030625,0.04307136713719554,56.19213131739407,5
Female,0.8970085737068254,0.8538988350753827,0.9422947406088457,1.5238709874696059e-5,6.701496433962268,5
Age < 70,0.9231004213116714,0.814903133005986,1.0456634087078982,0.20839868810658196,79.99119797541331,5
Age >= 70,0.9334677787558694,0.8833671938845644,0.9864098418050189,0.014440408450253647,0,5
