term,estimate,std.error,robust.se,statistic,p.value,conf.low,conf.high,analysis,stratum,n,n_events
cum_env_prop,0.616641421838842,0.01644473968094229,0.018220061294908118,-26.53490458397021,3.836042200564905e-155,0.5950092948817002,0.639060005277782,MSM_main_pooled_strat,NA,NA,NA
cum_env_prop,0.6728248914967978,0.016693556562927717,0.018597971510083022,-21.30717180198761,9.740413344447146e-101,0.6487411225806372,0.6978027426670625,MSM_interaction_pooled_strat,NA,NA,NA
ic_bl,0.6536679109768936,0.020823452442870146,0.022295799743909953,-19.068875875896307,4.58045652815869e-81,0.6257184293906634,0.6828658351280962,MSM_interaction_pooled_strat,NA,NA,NA
age_bl,1.0577628584455938,8.986871595963405e-4,9.818957776536763e-4,57.191575964506335,0,1.0557291721205238,1.0598004623284787,MSM_interaction_pooled_strat,NA,NA,NA
female_bl,1.0311455210125724,0.013042060642311481,0.014141289128635019,2.1688503995465824,0.03009404345366804,1.0029582903197534,1.060124928191491,MSM_interaction_pooled_strat,NA,NA,NA
chronic_bl,1.345349678515733,0.005002631184355032,0.005630641887237143,52.68563855264859,0,1.3305842187197288,1.3602789902497963,MSM_interaction_pooled_strat,NA,NA,NA
cum_env_prop:ic_bl,0.930766283580799,0.034612358975491885,0.037808290105475414,-1.8976544843602543,0.05774161207359125,0.8642873726995982,1.0023585927731964,MSM_interaction_pooled_strat,NA,NA,NA
cum_env_prop,0.6905944585622534,0.027241792859959008,0.03000572978361825,-12.33772752137089,5.673464496338533e-35,0.6511516804331304,0.7324264384600158,MSM_stratified_Low_IC,Low_IC,28880,10113
cum_env_prop,0.6830492416400434,0.02837653642057656,0.03147595202569124,-12.11046215833385,9.29688502556442e-34,0.6421842271661176,0.7265146772039164,MSM_stratified_Mid_IC,Mid_IC,33276,8216
cum_env_prop,0.5984937373913222,0.03126038391300741,0.03503256983001692,-14.653199019380622,1.2851936357063782e-48,0.5587786869737111,0.6410315247286532,MSM_stratified_High_IC,High_IC,34736,6529
