ic_stratum,outcome,time_horizon_years,environment_contrast,k,pooled_risk_low_env,risk_low_env_ci_lower,risk_low_env_ci_upper,pooled_risk_high_env,risk_high_env_ci_lower,risk_high_env_ci_upper,pooled_risk_difference,se,ci_lower,ci_upper,p_value,tau2,I2
Low,DFS event (first ADL disability or death),5,cohort-specific P25 vs P75,5,0.27094055030383024,0.22266605098010364,0.32530121570318593,0.25067517919156956,0.19654205853944418,0.3138931476949789,0.018936614314536936,0.009151396983242799,0.0010002058191525519,0.036873022809921316,0.03852175046515424,3.6429986280593033e-4,89.97016922075655
Medium,DFS event (first ADL disability or death),5,cohort-specific P25 vs P75,5,0.18330541012644078,0.1367510052745282,0.24127872304365702,0.16018809994795294,0.11609491782520376,0.2169182049280509,0.022571658793666783,0.004709958328308781,0.013340310101497093,0.031803007485836476,1.6485820370754464e-6,9.444551379677507e-5,87.26455823120635
High,DFS event (first ADL disability or death),5,cohort-specific P25 vs P75,5,0.13075665148888396,0.09236247178080625,0.18191213693020025,0.10787540514139998,0.07542068902611763,0.1519999389291355,0.022608372303275,0.003918508397533859,0.014928236970990875,0.030288507635559125,7.944231860529903e-9,5.631778211838192e-5,78.42409988393945
